Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
121,Mack Hollins,LVR,WR,29,13,12,1,1,4,0,0,4,40,10.00,0,77,47,588,12.51,3,0,0,3,,,81,128.0,131.0,104.5,,40,

122,DeAndre Hopkins,ARI,WR,30,7,7,0,0,0,0,0,0,0,,0,75,56,653,11.66,3,2,1,3,,,81,137.3,141.3,109.3,,39,

123,George Pickens,PIT,WR,21,13,8,0,0,0,0,0,3,24,8.00,1,64,40,590,14.75,2,0,0,3,1,,81,121.4,124.4,101.4,,38,

124,Jerick McKinnon,KAN,RB,30,13,0,0,0,0,0,0,53,222,4.19,0,51,38,359,9.45,4,1,1,4,,,80,118.1,125.1,99.1,,39,

125,Brian Robinson Jr.,WAS,RB,23,9,7,0,0,0,0,0,147,563,3.83,2,9,8,42,5.25,1,1,0,3,,,79,86.5,89.5,82.5,,40,

126,James Robinson,2TM,RB,24,11,5,0,0,0,0,0,110,425,3.86,3,14,11,51,4.64,2,1,0,5,,,78,88.6,91.6,83.1,,41,

127,Drake London,ATL,WR,21,13,11,0,0,0,0,0,0,0,,0,81,47,533,11.34,4,1,1,4,1,,77,124.3,128.3,100.8,,41,

128,Zach Wilson,NYJ,QB,23,7,7,105,189,1279,4,5,24,94,3.92,1,1,1,2,2.00,1,1,1,2,,,77,77.8,86.8,82.3,,33,

129,Michael Carter,NYJ,RB,23,12,9,0,0,0,0,0,104,375,3.61,3,42,31,224,7.23,0,2,1,3,,,76,106.9,113.9,91.4,,43,

130,Devin Duvernay,BAL,WR,25,13,13,0,0,0,0,0,12,84,7.00,1,46,35,378,10.80,3,0,0,5,,,76,111.2,114.2,93.7,,42,

131,Jakobi Meyers,NWE,WR,26,10,9,0,0,0,0,0,2,9,4.50,0,67,50,593,11.86,3,1,1,3,,,76,126.2,130.2,101.2,,43,

132,Latavius Murray,2TM,RB,32,9,3,0,0,0,0,0,112,437,3.90,4,24,20,83,4.15,0,0,0,4,,,76,96.0,99.0,86.0,,42,

133,Marquise Brown,ARI,WR,25,8,8,0,0,0,0,0,0,0,,0,80,53,565,10.66,3,1,0,3,,,75,127.5,130.5,101.0,,45,

134,Courtland Sutton,DEN,WR,27,12,12,0,0,0,0,0,1,5,5.00,0,89,52,688,13.23,1,0,0,1,,,75,127.3,130.3,101.3,,44,

135,Kenyan Drake,BAL,RB,28,11,5,0,0,0,0,0,93,422,4.54,3,21,15,70,4.67,1,1,0,4,,,73,88.2,91.2,80.7,,44,

136,Isaiah McKenzie,BUF,WR,27,12,7,0,0,0,0,0,8,49,6.13,1,55,38,380,10.00,4,0,0,5,,,73,110.9,113.9,91.9,,46,

137,Darius Slayton,NYG,WR,25,12,8,0,0,0,0,0,0,0,,0,55,35,608,17.37,2,0,0,2,,,73,107.8,110.8,90.3,,47,

138,Parris Campbell,IND,WR,25,13,12,0,0,0,0,0,3,31,10.33,0,68,50,497,9.94,3,0,0,3,,,71,120.8,123.8,95.8,,48,

139,Mecole Hardman,KAN,WR,24,8,5,0,0,0,0,0,4,31,7.75,2,34,25,297,11.88,4,1,0,6,,,69,93.8,96.8,81.3,,50,

140,Diontae Johnson,PIT,WR,26,13,13,0,0,0,0,0,6,23,3.83,0,113,67,647,9.66,0,1,0,0,1,,69,136.0,139.0,102.5,,49,

141,Rachaad White,TAM,RB,23,13,4,0,0,0,0,0,96,370,3.85,1,47,40,242,6.05,1,3,3,2,,,67,107.2,116.2,87.2,,45,

142,Marquez Valdes-Scantling,KAN,WR,28,13,8,0,0,0,0,0,1,-3,-3.00,0,61,34,606,17.82,1,0,0,1,,,66,100.3,103.3,83.3,,51,

143,Damien Harris,NWE,RB,25,9,8,0,0,0,0,0,84,383,4.56,3,16,13,75,5.77,0,0,0,3,,,64,76.8,79.8,70.3,,46,

144,Gerald Everett,LAC,TE,28,12,8,0,0,0,0,0,1,0,0.00,0,73,48,490,10.21,2,0,0,2,1,,63,111.0,114.0,87.0,,13,

145,Marquise Goodwin,SEA,WR,32,12,1,0,0,0,0,0,2,5,2.50,0,38,27,387,14.33,4,0,0,4,,,63,90.2,93.2,76.7,,52,

146,Alec Pierce,IND,WR,22,12,9,0,0,0,0,0,0,0,,0,60,32,510,15.94,2,1,0,2,,,63,95.0,98.0,79.0,,53,

147,Eno Benjamin,2TM,RB,23,12,3,0,0,0,0,0,73,300,4.11,2,33,24,184,7.67,0,0,0,2,1,,62,86.4,92.4,74.4,,47,

148,DeAndre Carter,LAC,WR,29,13,7,0,0,0,0,0,1,-5,-5.00,0,55,40,466,11.65,3,1,1,3,,,62,102.1,106.1,82.1,,54,

149,Melvin Gordon,DEN,RB,29,10,6,0,0,0,0,0,90,318,3.53,2,32,25,223,8.92,0,5,2,2,,,62,87.1,95.1,74.6,,48,

150,Darnell Mooney,CHI,WR,25,12,12,0,0,0,0,0,1,2,2.00,0,61,40,493,12.33,2,0,0,2,,,62,101.5,104.5,81.5,,55,

151,Josh Reynolds,DET,WR,27,10,9,0,0,0,0,0,0,0,,0,52,34,427,12.56,3,0,0,3,,,61,94.7,97.7,77.7,,56,

